DFT_ID,Alloy,SWS0,B0,R2,dSWS_center
DFT_0001,W91Re9,2.963476,297.51,0.99996,+0.01978
DFT_0002,W95Re5,2.966373,290.91,0.99987,+0.01987
DFT_0003,Mo92Re8,2.940249,257.91,0.99999,+0.01425
DFT_0004,Ta50W50,3.021511,232.84,0.99994,+0.01151
DFT_0005,Ta60W40,3.034874,224.91,0.99996,+0.01287
DFT_0006,Ta70W30,3.049351,217.49,0.99976,+0.01535
DFT_0007,Ta80W20,3.064330,206.81,0.99982,+0.01833
DFT_0008,Ta90W7Re3,3.076637,197.58,0.99991,+0.02074
DFT_0009,Ta90W10,3.081020,194.43,0.99896,+0.02302
DFT_0010,Nb5Ta45Mo5W45,3.019718,230.33,0.99998,+0.01072
DFT_0011,Nb22Ta34Mo22W22,3.022581,215.86,0.99995,+0.00978
DFT_0012,Nb24Ta28Mo24W24,3.016431,218.97,0.99995,+0.00883
DFT_0013,Nb25Ta25Mo25W25,3.013349,220.36,0.99991,+0.00835
DFT_0014,Nb26Ta23Mo26W25,3.011638,220.71,0.99989,+0.00804
DFT_0015,Nb27Ta19Mo27W27,3.007195,224.84,0.99989,+0.00740
DFT_0016,Nb29Ta14Mo29W28,3.002764,229.57,0.99995,+0.00696
DFT_0017,Nb32Ta6Mo31W31,2.996804,229.78,0.99998,+0.00740
DFT_0018,Nb35Ta5Mo25W35,2.999578,232.85,0.99999,+0.00658
DFT_0019,Nb35Ta35Mo5W25,3.044751,198.28,0.99988,+0.01175
DFT_0020,Nb50Mo25W25,3.009314,209.21,0.99994,+0.00431
DFT_0021,Nb66Mo17W17,3.027838,192.85,0.99999,+0.00204
DFT_0022,Nb66Mo18W16,3.027547,192.80,0.99999,+0.00195
DFT_0023,Nb67Mo16W17,3.029287,192.43,0.99999,+0.00209
DFT_0024,Nb67Mo17W16,3.029014,192.40,0.99999,+0.00201
DFT_0025,Nb68Mo16W16,3.030518,191.81,0.99999,+0.00212
DFT_0026,Nb89Ta6W5,3.073914,167.30,0.99946,+0.00991
DFT_0027,V10Nb10Ta35Mo10W35,3.002278,223.40,1.00000,+0.01328
DFT_0028,V11Nb45Ta44,3.063527,167.99,0.99998,+0.02103
DFT_0029,V18Nb41Ta41,3.047509,166.49,0.99999,+0.02251
DFT_0030,V20Nb20Ta20Mo20W20,2.981014,203.80,0.99993,+0.01301
DFT_0031,V21Nb39Ta40,3.040490,165.92,0.99999,+0.02299
DFT_0032,V25Nb25Ta25W25,2.995224,191.01,0.99997,+0.01772
DFT_0033,V25Nb25Ta25Mo25,2.985674,183.86,0.99999,+0.01317
DFT_0034,V33Nb34Ta33,3.010043,164.53,0.99998,+0.02254
DFT_0035,Hf1Ta81W16Re2,3.069103,204.19,0.99997,+0.04632
DFT_0036,Hf1Ta82W15Re2,3.071369,191.43,1.00000,+0.04740
DFT_0037,Hf1Ta84W14Re1,3.073098,196.14,0.99996,+0.02828
DFT_0038,Hf1Ta88W9Re2,3.079089,192.35,1.00000,+0.02129
DFT_0039,Hf1Ta88W10Re1,3.080733,189.21,0.99999,+0.02223
DFT_0040,Hf1Ta88W11,3.082465,185.32,0.99997,+0.02327
DFT_0041,Hf1Ta89W8Re2,3.081090,188.99,0.99999,+0.02209
DFT_0042,Hf1Ta89W9Re1,3.082800,185.64,0.99998,+0.02310
DFT_0043,Hf1Ta90W7Re2,3.083113,185.98,0.99998,+0.02291
DFT_0044,Hf1Ta90W8Re1,3.084872,182.77,0.99998,+0.02397
DFT_0045,Hf1Ta90W9,3.086606,180.31,0.99998,+0.02501
DFT_0046,Hf1Ta91W6Re2,3.085149,183.25,0.99998,+0.02375
DFT_0047,Hf1Ta91W7Re1,3.086828,180.90,0.99997,+0.02473
DFT_0048,Hf1Ta91W8,3.088269,180.52,0.99997,+0.02547
DFT_0049,Hf1V17Nb41Ta41,3.051827,165.49,1.00000,+0.02193
DFT_0050,Hf2Ta88W10,3.086238,181.75,0.99998,+0.02344
DFT_0051,Hf2Ta90W7Re1,3.088191,181.62,0.99998,+0.02369
DFT_0052,Hf2Ta90W8,3.089485,181.92,0.99998,+0.02429
DFT_0053,Hf2Ta91W7,3.091108,181.52,1.00000,+0.02471
DFT_0054,Hf3Ta87W10,3.087633,182.23,0.99999,+0.02243
DFT_0055,Hf3Ta89W8,3.090772,182.45,1.00000,+0.02317
DFT_0056,Hf3V15Nb40Ta40Mo2,3.056204,166.50,0.99998,+0.01930
DFT_0057,Hf3V15Nb41Ta41,3.060197,164.58,0.99994,+0.02050
DFT_0058,Hf4V19Nb38Ta39,3.052855,166.31,0.99985,+0.02075
DFT_0059,Hf7Nb23Ta23Mo23W24,3.029653,201.29,0.99999,+0.00385
DFT_0060,Hf7Nb30Ta31W32,3.054924,191.89,0.99999,+0.00652
DFT_0061,Hf7Nb31Ta31W31,3.056141,190.34,0.99999,+0.00654
DFT_0062,Hf7Nb32Ta30W31,3.055027,201.58,0.99994,+0.01995
DFT_0063,Hf8Nb30Ta31W31,3.057840,189.19,0.99999,+0.00584
DFT_0064,Hf8Nb31Ta30W31,3.057466,189.64,1.00000,+0.00547
DFT_0065,Hf8Nb31Ta31W30,3.058342,196.31,0.99999,+0.01743
DFT_0066,Hf10Nb44Ta44W2,3.101691,169.76,0.99968,+0.01009
DFT_0067,Hf15Nb21Ta21Mo22W21,3.047149,186.96,0.99998,+0.02378
DFT_0068,Hf19Nb75W6,3.104544,158.75,0.99923,-0.00386
DFT_0069,Hf20Nb20Ta20Mo20W20,3.059457,180.01,0.99999,+0.02022
DFT_0070,Hf51Ta19Mo30,3.119908,178.66,0.99976,-0.03049
DFT_0071,Hf58Ta21Mo21,3.145343,171.19,0.99993,-0.03446
DFT_0072,Hf61Ta23Mo16,3.158435,165.84,0.99969,-0.03556
DFT_0073,Hf69Ta26Mo5,3.187923,141.24,0.99506,-0.04068
DFT_0074,Zr1Ta89W9Re1,3.081551,193.90,0.99920,+0.02145
DFT_0075,Zr1Ta91W7Re1,3.085061,192.40,0.99886,+0.02256
DFT_0076,Zr1Ta91W8,3.086429,192.57,0.99895,+0.02323
DFT_0077,Zr1Ta91Mo1W7,3.086379,191.43,0.99914,+0.02338
DFT_0078,Zr1Ta91Mo2W4Re2,3.083489,191.09,0.99918,+0.02209
DFT_0079,Zr1Ta93W5Re1,3.088413,191.71,0.99926,+0.02351
DFT_0080,Zr1Nb75Ta18W6,3.075571,172.95,0.99981,+0.00997
DFT_0081,Zr1Nb88Mo4W7,3.065078,170.82,0.99946,+0.00628
DFT_0082,Zr1Nb89Ta4Mo2W4,3.073625,164.74,0.99934,+0.00843
DFT_0083,Zr1Nb90Mo4W5,3.068196,167.04,0.99917,+0.00700
DFT_0084,Zr1Nb94W5,3.074955,160.79,0.99927,+0.00816
DFT_0085,Zr1Nb94Mo2W3,3.074564,159.07,0.99907,+0.00816
DFT_0086,Zr1Nb95Mo2W2,3.077313,159.13,0.99986,+0.00971
DFT_0087,Zr1Nb96W3,3.077666,157.25,0.99941,+0.00847
DFT_0088,Zr1Nb96Mo2W1,3.077897,156.66,0.99975,+0.00910
DFT_0089,Zr1Hf1Ta90W7Re1,3.088205,182.09,0.99999,+0.02331
DFT_0090,Zr1Hf1Ta91Mo1W5Re1,3.089531,182.28,0.99999,+0.02363
DFT_0091,Zr1Hf1Ta91Mo1W6,3.090572,183.31,1.00000,+0.02397
DFT_0092,Zr2Nb86Ta5Mo2W5,3.074142,166.05,0.99945,+0.00734
DFT_0093,Zr2Nb87Ta5Mo2W4,3.075651,163.77,0.99947,+0.00765
DFT_0094,Zr2Nb92Mo2W4,3.074890,160.21,0.99925,+0.00689
DFT_0095,Zr3Nb24Ta24Mo24W25,3.019793,213.96,0.99994,+0.00499
DFT_0096,Zr3Nb86Ta5Mo2W4,3.077502,162.33,0.99951,+0.00670
DFT_0097,Zr3Nb92W5,3.078441,158.64,0.99947,+0.00604
DFT_0098,Zr5Nb95,3.088475,148.11,0.99992,+0.00448
DFT_0099,Zr11Nb22Ta22Mo23W22,3.038054,194.58,0.99995,-0.00415
DFT_0100,Zr20Nb20Ta20Mo20W20,3.060627,180.39,0.99997,-0.01337
DFT_0101,Zr34Nb33Ta33,3.155810,136.65,0.99989,-0.00939
DFT_0102,Ti1Zr1Mo98,2.946342,241.79,0.99993,+0.01094
DFT_0103,Ti2Zr1Hf5Nb92,3.089351,148.80,0.99985,+0.00495
DFT_0104,Ti2Zr1Hf6Nb91,3.091226,148.56,0.99982,+0.00443
DFT_0105,Ti3V15Nb39Ta40Mo3,3.047342,167.82,0.99998,+0.01964
DFT_0106,Ti3V15Nb40Ta40Mo2,3.049214,166.70,0.99997,+0.02011
DFT_0107,Ti3V15Nb41Ta41,3.053202,164.73,0.99994,+0.02130
DFT_0108,Ti6Nb24Ta23Mo24W23,3.013141,210.35,0.99991,+0.00554
DFT_0109,Ti8V25Nb33Ta34,3.025358,161.09,0.99991,+0.01946
DFT_0110,Ti10Hf10V10Nb45Ta25,3.076941,157.08,0.99984,+0.00994
DFT_0111,Ti10Zr1Nb76Mo5W8,3.056607,166.05,0.99976,+0.00241
DFT_0112,Ti11Nb22Ta22Mo23W22,3.012466,203.28,0.99988,+0.00327
DFT_0113,Ti11Hf11V8Nb35Ta35,3.083958,156.78,0.99987,+0.00976
DFT_0114,Ti13Hf15Nb43Ta27Re2,3.101050,161.04,0.99990,+0.00145
DFT_0115,Ti14V29Nb29Ta28,3.009802,156.38,0.99994,+0.01510
DFT_0116,Ti14Zr14Hf15Nb14Ta14Mo15W14,3.084276,162.94,0.99983,-0.02032
DFT_0117,Ti15Hf5Nb55Ta25,3.087335,154.38,0.99973,+0.00833
DFT_0118,Ti15Hf15Nb45Ta25,3.105077,156.64,0.99988,-0.00751
DFT_0119,Ti15Zr5Hf15Nb40Ta25,3.115172,148.43,0.99961,-0.00183
DFT_0120,Ti15Zr45Nb30Ta10,3.176157,113.56,0.99986,-0.01684
DFT_0121,Ti16Nb21Ta21Mo21W21,3.013164,195.24,0.99991,+0.00096
DFT_0122,Ti16Zr16Hf17Nb17Ta17W17,3.112869,154.64,0.99979,-0.01913
DFT_0123,Ti16Zr17Hf17Nb17Ta17Mo16,3.115421,150.76,1.00000,-0.01738
DFT_0124,Ti17V17Nb17Ta16Mo17W16,2.983395,184.12,0.99997,+0.00229
DFT_0125,Ti18Nb73Mo9,3.056245,154.09,1.00000,+0.00245
DFT_0126,Ti18V5Nb71W6,3.050659,153.69,0.99982,+0.00396
DFT_0127,Ti18Zr5Nb77,3.081748,142.74,0.99991,+0.00135
DFT_0128,Ti20Nb20Ta20Mo20W20,3.013005,190.13,0.99993,-0.00099
DFT_0129,Ti20V20Nb20Ta20W20,2.997904,174.09,0.99997,+0.00590
DFT_0130,Ti20Hf20Nb20Ta20Mo20,3.076491,164.05,0.99994,-0.00951
DFT_0131,Ti20Zr20Hf20Ta20Mo20,3.118175,146.99,1.00000,-0.02382
DFT_0132,Ti20Zr20Hf20Nb20Ta20,3.154705,131.59,0.99988,-0.01530
DFT_0133,Ti25V25Nb25Mo25,2.957632,164.97,1.00000,-0.00987
DFT_0134,Ti25Hf25Nb25Ta25,3.118968,146.59,0.99970,-0.00603
DFT_0135,Ti25Hf25V25Nb25,3.054411,135.05,0.99954,-0.00809
DFT_0136,Ti25Zr25Nb25Ta25,3.128266,127.28,0.99987,-0.00673
DFT_0137,Ti25Zr25V25Nb25,3.059825,117.89,0.99987,-0.01268
DFT_0138,Ti25Zr25Hf25Ta25,3.175354,121.81,0.99958,-0.01965
DFT_0139,Ti25Zr25Hf25Nb12Ta13,3.173855,118.52,0.99943,-0.02114
DFT_0140,Ti25Zr25Hf25Nb25,3.172088,114.76,0.99928,-0.02291
DFT_0141,Ti28Zr28Hf28Ta16,3.187126,107.65,0.99793,-0.02287
DFT_0142,Ti28Zr29Hf29Ta14,3.192024,107.21,0.99782,-0.02318
DFT_0143,Ti29Zr28Hf29Nb14,3.186785,100.36,0.99661,-0.02542
DFT_0144,Ti30Zr29Hf29Ta12,3.191377,102.61,0.99682,-0.02342
DFT_0145,Ti31Zr32Nb31Ta3Mo3,3.133848,114.28,0.99997,-0.01535
DFT_0146,Ti33V34Nb33,2.971611,139.59,1.00000,-0.00679
DFT_0147,Ti33Zr33V17Nb17,3.098768,107.55,0.99987,-0.01453
DFT_0148,Ti34V22Nb22Ta22,3.012805,143.50,0.99992,+0.00460
DFT_0149,Ti34Zr33Nb33,3.141157,110.09,0.99984,-0.01444
DFT_0150,Ti35Zr27Hf27Nb5Ta6,3.181510,105.50,0.99843,-0.02189
DFT_0151,Ti35Zr35Nb20Mo10,3.124503,113.88,0.99990,-0.02250
DFT_0152,Ti37Hf23V15Nb22W3,3.064680,135.82,0.99920,-0.01202
DFT_0153,Ti38Hf24V15Nb23,3.071538,130.93,0.99952,-0.01096
DFT_0154,Ti41Hf16V27Nb16,3.020608,128.90,0.99971,-0.01209
DFT_0155,Ti42Hf21V16Nb21,3.060864,129.26,0.99955,-0.01114
DFT_0156,Ti43Zr14V28Nb14Mo1,3.012046,118.91,1.00000,-0.01715
DFT_0157,Ti43Zr14V29Nb14,3.011188,118.40,1.00000,-0.01691
DFT_0158,Ti43Zr42Nb5Ta5Mo5,3.153542,102.50,0.99984,-0.01846
DFT_0159,Ti44Zr14V28Nb14,3.013624,117.75,1.00000,-0.01678
DFT_0160,Ti44Zr30Nb26,3.131302,107.42,0.99983,-0.01390
DFT_0161,Ti45Zr45Nb5Mo5,3.160808,98.06,0.99983,-0.01919
DFT_0162,Ti45Zr45Nb5Ta5,3.173671,96.52,0.99974,-0.01333
DFT_0163,Ti49Zr32Nb13Ta6,3.137147,104.33,0.99988,-0.01265
DFT_0164,Ti56Zr30Nb14,3.128771,101.38,0.99981,-0.01403
DFT_0165,Ta90W2Re8,3.070981,206.31,0.99964,+0.01858
DFT_0166,Nb5Ta45Mo8W42,3.019051,229.68,0.99997,+0.01065
DFT_0167,Nb22Ta34Mo24W20,3.022206,214.65,0.99994,+0.00981
DFT_0168,Nb24Ta28Mo21W27,3.016942,220.32,0.99994,+0.00874
DFT_0169,Nb26Ta23Mo28W23,3.011295,219.64,0.99990,+0.00810
DFT_0170,Nb27Ta19Mo31W23,3.006486,222.57,0.99984,+0.00749
DFT_0171,Nb28Ta25Mo25W22,3.017105,215.19,0.99994,+0.00851
DFT_0172,Nb29Ta14Mo24W33,3.003611,231.29,0.99996,+0.00681
DFT_0173,Nb32Ta6Mo34W28,2.996156,228.43,0.99998,+0.00736
DFT_0174,Nb35Ta5Mo20W40,3.000455,233.84,1.00000,+0.00645
DFT_0175,Nb35Ta35Mo1W29,3.045615,201.28,0.99981,+0.01181
DFT_0176,Nb50Mo23W27,3.009874,210.17,0.99994,+0.00447
DFT_0177,Nb61Mo17W22,3.022476,197.76,0.99998,+0.00268
DFT_0178,Nb66Mo23W11,3.026139,192.35,0.99999,+0.00154
DFT_0179,Nb67Mo12W21,3.030424,192.55,0.99999,+0.00242
DFT_0180,Nb69Mo17W14,3.031489,190.80,0.99999,+0.00209
DFT_0181,Nb72Mo12W16,3.036877,188.41,0.99998,+0.00288
DFT_0182,Nb91Ta6W3,3.077046,162.14,0.99940,+0.01065
DFT_0183,V8Nb10Ta35Mo10W37,3.003969,225.89,0.99999,+0.01237
DFT_0184,V8Nb45Ta47,3.070572,168.51,0.99997,+0.02057
DFT_0185,V14Nb45Ta41,3.056333,167.51,0.99999,+0.02133
DFT_0186,V17Nb20Ta20Mo20W23,2.984390,209.25,0.99993,+0.01249
DFT_0187,V20Nb25Ta25Mo30,2.990044,186.57,0.99998,+0.01204
DFT_0188,V21Nb25Ta25W29,2.999815,196.50,0.99990,+0.01712
DFT_0189,V24Nb39Ta37,3.032754,165.10,0.99997,+0.02275
DFT_0190,V28Nb34Ta38,3.023609,164.73,0.99999,+0.02361
DFT_0191,Hf1Ta79W16Re4,3.062918,200.16,0.99999,+0.04391
DFT_0192,Hf1Ta84W15,3.075485,195.20,0.99986,+0.02997
DFT_0193,Hf1Ta85W9Re5,3.070972,199.08,0.99989,+0.02775
DFT_0194,Hf1Ta86W6Re7,3.070255,199.28,0.99991,+0.02724
DFT_0195,Hf1Ta88W7Re4,3.076041,198.20,0.99990,+0.01964
DFT_0196,Hf1Ta93W6,3.091094,182.73,0.99998,+0.02589
DFT_0197,Hf1V14Nb41Ta44,3.059100,166.24,0.99999,+0.02170
DFT_0198,Hf2Ta90W3Re5,3.082013,190.03,1.00000,+0.02031
DFT_0199,Hf2Ta95W3,3.095923,187.07,0.99991,+0.02472
DFT_0200,Hf2V19Nb38Ta41,3.049503,165.84,0.99990,+0.02220
DFT_0201,Hf3Ta82W13Re2,3.075224,199.49,0.99987,+0.01742
DFT_0202,Hf3Ta90W5Re2,3.089858,182.01,0.99999,+0.02246
DFT_0203,Hf3Nb30Ta31W36,3.043858,200.36,1.00000,+0.00986
DFT_0204,Hf3Nb31Ta35W31,3.051952,188.23,0.99998,+0.03849
DFT_0205,Hf4Ta81W14Re1,3.078486,194.29,0.99998,+0.01759
DFT_0206,Hf4Ta86W9Re1,3.087665,183.27,0.99999,+0.02076
DFT_0207,Hf4Ta88W7Re1,3.090911,182.32,1.00000,+0.02161
DFT_0208,Hf4Ta88W8,3.092086,182.75,1.00000,+0.02209
DFT_0209,Hf4Ta91W5,3.096082,190.25,0.99989,+0.02248
DFT_0210,Hf5Ta85W8Re2,3.087757,184.21,1.00000,+0.01916
DFT_0211,Hf5Ta90W4Re1,3.106229,166.68,0.99981,+0.03988
DFT_0212,Hf5Nb32Ta30W33,3.050443,194.21,0.99999,+0.00804
DFT_0213,Hf6Ta84W10,3.102899,168.49,0.99974,+0.03944
DFT_0214,Hf6V15Nb41Ta38,3.065106,163.39,0.99985,+0.01821
DFT_0215,Hf7Ta89W4,3.101769,181.22,1.00000,+0.01977
DFT_0216,Hf7Nb44Ta44W5,3.092248,169.78,0.99999,+0.01145
DFT_0217,Hf8Ta82W10,3.094506,180.64,0.99999,+0.02626
DFT_0218,Hf8Nb31Ta27W34,3.053324,192.74,0.99999,+0.00492
DFT_0219,Hf8V10Nb40Ta40Mo2,3.077429,172.18,0.99997,+0.01603
DFT_0220,Hf10Nb21Ta21Mo27W21,3.031983,197.26,0.99999,+0.00098
DFT_0221,Hf10Nb23Ta23Mo20W24,3.038951,194.77,0.99999,+0.00175
DFT_0222,Hf10Nb31Ta31W28,3.065198,181.14,1.00000,+0.03151
DFT_0223,Hf11Nb27Ta31W31,3.062741,186.87,1.00000,+0.00354
DFT_0224,Hf17Nb75W8,3.098980,156.07,0.99979,-0.00222
DFT_0225,Hf23Nb20Ta20Mo17W20,3.068454,180.07,0.99999,-0.00895
DFT_0226,Hf53Ta19Mo28,3.126283,177.51,0.99982,-0.03172
DFT_0227,Hf55Ta21Mo24,3.136090,175.12,0.99987,-0.03231
DFT_0228,Hf66Ta23Mo11,3.169896,145.88,0.99861,-0.04310
DFT_0229,Hf72Ta26Mo2,3.196499,128.62,0.99094,-0.04350
DFT_0230,Zr1Ta87Mo2W4Re6,3.071470,203.69,0.99987,+0.01767
DFT_0231,Zr1Ta91W4Re4,3.080940,195.20,0.99951,+0.02054
DFT_0232,Zr1Ta93W3Re3,3.085731,192.35,0.99901,+0.02223
DFT_0233,Zr1Nb84Mo8W7,3.058271,175.40,0.99992,+0.00507
DFT_0234,Zr1Nb85Mo4W10,3.060545,175.69,0.99992,+0.00535
DFT_0235,Zr1Nb85Ta4Mo6W4,3.066819,169.97,0.99939,+0.00722
DFT_0236,Zr1Nb89Mo7W3,3.066086,166.81,0.99914,+0.00669
DFT_0237,Zr1Nb91W8,3.070328,168.16,0.99919,+0.00713
DFT_0238,Zr1Nb92Mo6W1,3.072553,162.62,0.99988,+0.00935
DFT_0239,Zr1Hf1Ta88W7Re3,3.081475,188.61,1.00000,+0.02037
DFT_0240,Zr1Hf1Ta91Mo6W1,3.089106,182.99,0.99999,+0.02351
DFT_0241,Zr2Nb87Ta5Mo4W2,3.075328,162.16,0.99941,+0.00773
DFT_0242,Zr3Nb75Ta16W6,3.079224,169.24,0.99972,+0.00802
DFT_0243,Zr3Nb96W1,3.083664,150.72,0.99992,+0.00646
DFT_0244,Zr3Hf1Ta89Mo1W5Re1,3.093375,176.16,0.99979,+0.03081
DFT_0245,Zr4Nb84Ta5Mo2W5,3.077837,162.87,0.99952,+0.00544
DFT_0246,Zr5Ta87Mo1W7,3.092820,183.82,0.99993,+0.01862
DFT_0247,Zr5Nb90W5,3.081949,156.25,0.99961,+0.00395
DFT_0248,Zr5Nb92Mo2W1,3.084112,151.36,0.99987,+0.00411
DFT_0249,Zr6Ta84W9Re1,3.090726,188.48,0.99993,+0.01663
DFT_0250,Zr6Ta91W3,3.102301,177.05,0.99997,+0.01910
DFT_0251,Zr6Nb24Ta24Mo24W22,3.028487,203.15,0.99989,+0.00169
DFT_0252,Zr6Nb90Mo2W2,3.084778,150.65,0.99932,+0.00318
DFT_0253,Zr7Nb22Ta22Mo23W26,3.026501,206.90,0.99991,+0.00030
DFT_0254,Zr7Nb86Ta1Mo2W4,3.084041,154.98,0.99968,+0.00204
DFT_0255,Zr16Nb20Ta20Mo20W24,3.048339,188.73,0.99997,-0.00966
DFT_0256,Zr29Nb33Ta38,3.145730,142.07,0.99990,-0.00547
DFT_0257,Ti1Zr3Mo96,2.951181,236.76,0.99999,+0.00738
DFT_0258,Ti2Zr6Hf6Nb86,3.101325,146.71,0.99988,+0.00052
DFT_0259,Ti3V10Nb39Ta40Mo8,3.049800,173.17,0.99972,+0.01660
DFT_0260,Ti4Nb24Ta23Mo24W25,3.011948,215.63,0.99995,+0.00635
DFT_0261,Ti5Zr1Hf2Nb92,3.082679,148.66,0.99992,+0.00608
DFT_0262,Ti6V12Nb41Ta41,3.058467,164.43,0.99987,+0.01967
DFT_0263,Ti8V15Nb40Ta35Mo2,3.045843,163.17,0.99990,+0.01774
DFT_0264,Ti8Zr3Nb76Mo5W8,3.061544,164.76,0.99973,+0.00134
DFT_0265,Ti10Hf10Nb55Ta25,3.098403,155.81,0.99962,+0.00640
DFT_0266,Ti11V22Nb33Ta34,3.030960,158.46,0.99989,+0.01816
DFT_0267,Ti13Nb22Ta22Mo23W20,3.013583,198.17,0.99989,+0.00238
DFT_0268,Ti13Hf15Nb43Ta22Re7,3.085485,164.54,0.99971,-0.00462
DFT_0269,Ti14Nb21Ta21Mo21W23,3.012030,200.12,0.99988,+0.00183
DFT_0270,Ti14Hf10V6Nb45Ta25,3.115945,150.63,0.99998,+0.03974
DFT_0271,Ti14Zr14Hf11Nb14Ta14Mo19W14,3.070519,163.84,0.99990,-0.01888
DFT_0272,Ti15Hf11V4Nb35Ta35,3.090853,155.20,0.99983,+0.00745
DFT_0273,Ti16Zr16Hf22Nb17Ta17W12,3.129608,149.39,0.99980,-0.02039
DFT_0274,Ti16Zr17Hf21Nb17Ta17Mo12,3.127980,144.35,0.99979,-0.02002
DFT_0275,Ti17V14Nb17Ta16Mo17W19,2.987132,187.69,0.99996,+0.00213
DFT_0276,Ti17V26Nb29Ta28,3.015529,154.64,0.99991,+0.01393
DFT_0277,Ti17Zr43Nb30Ta10,3.170921,113.86,0.99986,-0.01608
