DFT_ID,Alloy,R2_cprime,R2_c44,cprime,c44
DFT_0001,W91Re9,0.999938,0.999578,170.72,157.55
DFT_0002,W95Re5,0.999894,0.999555,172.87,156.20
DFT_0003,Mo92Re8,0.999983,0.999718,169.02,125.16
DFT_0004,Ta50W50,0.998703,0.998041,110.05,92.73
DFT_0005,Ta60W40,0.999820,0.999759,96.99,87.85
DFT_0006,Ta70W30,0.999232,0.999947,90.48,90.05
DFT_0007,Ta80W20,0.998959,0.999923,84.59,92.54
DFT_0008,Ta90W7Re3,0.999622,0.999895,79.54,96.88
DFT_0009,Ta90W10,0.999854,0.999802,77.96,97.64
DFT_0010,Nb5Ta45Mo5W45,0.999140,0.997489,112.48,89.69
DFT_0011,Nb22Ta34Mo22W22,0.999280,0.995211,111.48,75.12
DFT_0012,Nb24Ta28Mo24W24,0.999717,0.995869,119.39,78.94
DFT_0013,Nb25Ta25Mo25W25,0.999844,0.996715,123.70,81.13
DFT_0014,Nb26Ta23Mo26W25,0.999897,0.997173,126.21,81.97
DFT_0015,Nb27Ta19Mo27W27,0.999928,0.998609,132.67,85.49
DFT_0016,Nb29Ta14Mo29W28,0.999797,0.999224,138.92,87.80
DFT_0017,Nb32Ta6Mo31W31,0.999925,0.999586,145.18,90.82
DFT_0018,Nb35Ta5Mo25W35,0.999884,0.999248,143.53,88.89
DFT_0019,Nb35Ta35Mo5W25,0.999945,0.999674,92.53,68.64
DFT_0020,Nb50Mo25W25,0.999784,0.996517,132.65,75.71
DFT_0021,Nb66Mo17W17,0.999334,0.991611,105.07,54.35
DFT_0022,Nb66Mo18W16,0.999366,0.991421,105.24,54.19
DFT_0023,Nb67Mo16W17,0.999409,0.991186,103.22,53.50
DFT_0024,Nb67Mo17W16,0.999446,0.990894,103.35,53.31
DFT_0025,Nb68Mo16W16,0.999529,0.990579,101.49,52.53
DFT_0026,Nb89Ta6W5,0.999500,0.996718,72.65,42.48
DFT_0027,V10Nb10Ta35Mo10W35,0.999833,0.997599,108.53,80.26
DFT_0028,V11Nb45Ta44,0.999449,0.999638,72.43,67.34
DFT_0029,V18Nb41Ta41,0.999552,0.999576,71.95,64.64
DFT_0030,V20Nb20Ta20Mo20W20,0.999126,0.994657,107.63,67.94
DFT_0031,V21Nb39Ta40,0.999593,0.999567,71.86,63.81
DFT_0032,V25Nb25Ta25W25,0.999929,0.999957,89.36,65.32
DFT_0033,V25Nb25Ta25Mo25,0.999915,0.998764,90.62,54.38
DFT_0034,V33Nb34Ta33,0.999664,0.999448,71.39,59.10
DFT_0035,Hf1Ta81W16Re2,0.999177,0.999936,82.22,92.52
DFT_0036,Hf1Ta82W15Re2,0.999267,0.999932,81.66,92.84
DFT_0037,Hf1Ta84W14Re1,0.999467,0.999924,79.93,94.06
DFT_0038,Hf1Ta88W9Re2,0.999693,0.999900,77.53,95.64
DFT_0039,Hf1Ta88W10Re1,0.999776,0.999882,77.04,95.90
DFT_0040,Hf1Ta88W11,0.999845,0.999860,76.47,96.02
DFT_0041,Hf1Ta89W8Re2,0.999778,0.999879,76.80,95.95
DFT_0042,Hf1Ta89W9Re1,0.999834,0.999864,76.30,96.06
DFT_0043,Hf1Ta90W7Re2,0.634846,0.999868,27703.25,96.14
DFT_0044,Hf1Ta90W8Re1,0.999859,0.999852,75.55,96.12
DFT_0045,Hf1Ta90W9,0.999850,0.999837,75.09,96.21
DFT_0046,Hf1Ta91W6Re2,0.999848,0.999865,75.32,96.24
DFT_0047,Hf1Ta91W7Re1,0.999854,0.999847,74.88,96.32
DFT_0048,Hf1Ta91W8,0.999721,0.999962,75.80,95.50
DFT_0049,Hf1V17Nb41Ta41,0.999597,0.999652,69.30,64.53
DFT_0050,Hf2Ta88W10,0.999862,0.999870,77.63,93.74
DFT_0051,Hf2Ta90W7Re1,0.999839,0.999883,72.76,94.82
DFT_0052,Hf2Ta90W8,0.999791,0.999875,72.30,94.71
DFT_0053,Hf2Ta91W7,0.999715,0.999885,71.66,94.64
DFT_0054,Hf3Ta87W10,0.999859,0.999905,71.50,93.10
DFT_0055,Hf3Ta89W8,0.999789,0.999908,70.20,93.15
DFT_0056,Hf3V15Nb40Ta40Mo2,0.999673,0.999798,66.13,62.67
DFT_0057,Hf3V15Nb41Ta41,0.999630,0.999842,64.38,63.14
DFT_0058,Hf4V19Nb38Ta39,0.999673,0.999864,63.20,62.85
DFT_0059,Hf7Nb23Ta23Mo23W24,0.999986,0.999100,112.66,92.69
DFT_0060,Hf7Nb30Ta31W32,0.999969,0.999907,85.24,75.22
DFT_0061,Hf7Nb31Ta31W31,0.999991,0.999947,84.34,74.52
DFT_0062,Hf7Nb32Ta30W31,0.999976,0.999902,79.85,69.13
DFT_0063,Hf8Nb30Ta31W31,0.999994,0.999954,82.79,74.96
DFT_0064,Hf8Nb31Ta30W31,0.999996,0.999956,82.85,74.48
DFT_0065,Hf8Nb31Ta31W30,0.999994,0.999951,78.56,70.65
DFT_0066,Hf10Nb44Ta44W2,0.710716,0.995701,-385886.37,51.70
DFT_0067,Hf15Nb21Ta21Mo22W21,0.255981,0.324616,353997.55,375850.26
DFT_0068,Hf19Nb75W6,0.999915,0.998278,61.77,54.47
DFT_0069,Hf20Nb20Ta20Mo20W20,0.999985,0.999821,87.40,74.53
DFT_0070,Hf51Ta19Mo30,0.673715,0.004507,1747656.64,134260.18
DFT_0071,Hf58Ta21Mo21,0.999983,0.999988,46.27,82.40
DFT_0072,Hf61Ta23Mo16,0.999956,0.999990,41.32,84.50
DFT_0073,Hf69Ta26Mo5,0.999894,0.633580,30.87,1683095.23
DFT_0074,Zr1Ta89W9Re1,0.999923,0.999876,77.96,96.83
DFT_0075,Zr1Ta91W7Re1,0.999862,0.999860,76.52,96.95
DFT_0076,Zr1Ta91W8,0.999772,0.999852,75.98,96.70
DFT_0077,Zr1Ta91Mo1W7,0.999754,0.999874,76.14,96.25
DFT_0078,Zr1Ta91Mo2W4Re2,0.999920,0.999896,77.26,96.11
DFT_0079,Zr1Ta93W5Re1,0.999690,0.999873,75.14,96.87
DFT_0080,Zr1Nb75Ta18W6,0.999791,0.001201,73.40,69.36
DFT_0081,Zr1Nb88Mo4W7,0.999895,0.998050,75.36,40.78
DFT_0082,Zr1Nb89Ta4Mo2W4,0.999523,0.997266,72.35,40.96
DFT_0083,Zr1Nb90Mo4W5,0.999826,0.997616,73.85,39.44
DFT_0084,Zr1Nb94W5,0.999293,0.996570,71.52,38.56
DFT_0085,Zr1Nb94Mo2W3,0.999225,0.996328,71.23,37.53
DFT_0086,Zr1Nb95Mo2W2,0.999033,0.996260,70.37,36.84
DFT_0087,Zr1Nb96W3,0.998898,0.997194,69.77,37.32
DFT_0088,Zr1Nb96Mo2W1,0.998894,0.996909,69.29,36.32
DFT_0089,Zr1Hf1Ta90W7Re1,0.999767,0.999972,75.77,94.95
DFT_0090,Zr1Hf1Ta91Mo1W5Re1,0.999747,0.999916,73.65,94.82
DFT_0091,Zr1Hf1Ta91Mo1W6,0.999644,0.999905,73.25,94.58
DFT_0092,Zr2Nb86Ta5Mo2W5,0.999663,0.997916,72.53,42.72
DFT_0093,Zr2Nb87Ta5Mo2W4,0.999557,0.998027,71.82,42.09
DFT_0094,Zr2Nb92Mo2W4,0.999404,0.997531,71.41,38.54
DFT_0095,Zr3Nb24Ta24Mo24W25,0.004712,0.995670,574.10,76.54
DFT_0096,Zr3Nb86Ta5Mo2W4,0.999531,0.998458,71.19,42.44
DFT_0097,Zr3Nb92W5,0.999260,0.998436,70.20,39.51
DFT_0098,Zr5Nb95,0.997391,0.998102,66.15,38.61
DFT_0099,Zr11Nb22Ta22Mo23W22,0.999797,0.998052,100.93,68.95
DFT_0100,Zr20Nb20Ta20Mo20W20,0.999982,0.169439,87.05,20518.10
DFT_0101,Zr34Nb33Ta33,0.999871,0.999937,44.06,60.05
DFT_0102,Ti1Zr1Mo98,0.999922,0.999485,172.32,113.68
DFT_0103,Ti2Zr1Hf5Nb92,0.998997,0.998757,64.83,43.28
DFT_0104,Ti2Zr1Hf6Nb91,0.999184,0.998915,64.23,44.03
DFT_0105,Ti3V15Nb39Ta40Mo3,0.999704,0.999745,71.84,64.28
DFT_0106,Ti3V15Nb40Ta40Mo2,0.999710,0.999772,71.01,64.37
DFT_0107,Ti3V15Nb41Ta41,0.999691,0.999832,69.22,64.96
DFT_0108,Ti6Nb24Ta23Mo24W23,0.999468,0.297546,111.48,8273.70
DFT_0109,Ti8V25Nb33Ta34,0.999806,0.999836,65.12,61.68
DFT_0110,Ti10Hf10V10Nb45Ta25,0.999884,0.999841,56.01,62.81
DFT_0111,Ti10Zr1Nb76Mo5W8,0.999974,0.999900,73.70,47.57
DFT_0112,Ti11Nb22Ta22Mo23W22,0.999694,0.998106,104.17,73.57
DFT_0113,Ti11Hf11V8Nb35Ta35,0.999729,0.999746,42.94,64.30
DFT_0114,Ti13Hf15Nb43Ta27Re2,0.474490,0.999771,-430192.79,83.03
DFT_0115,Ti14V29Nb29Ta28,0.999875,0.999827,60.85,60.09
DFT_0116,Ti14Zr14Hf15Nb14Ta14Mo15W14,0.999981,0.999979,61.71,68.36
DFT_0117,Ti15Hf5Nb55Ta25,0.999855,0.212087,57.14,-76728.74
DFT_0118,Ti15Hf15Nb45Ta25,0.212439,0.070136,226565.67,-164654.60
DFT_0119,Ti15Zr5Hf15Nb40Ta25,0.999961,0.999962,46.24,66.34
DFT_0120,Ti15Zr45Nb30Ta10,0.999816,0.999841,30.44,54.40
DFT_0121,Ti16Nb21Ta21Mo21W21,0.999929,0.999353,97.25,72.65
DFT_0122,Ti16Zr16Hf17Nb17Ta17W17,0.999976,0.118085,48.48,190103.27
DFT_0123,Ti16Zr17Hf17Nb17Ta17Mo16,0.999984,0.999981,47.41,64.15
DFT_0124,Ti17V17Nb17Ta16Mo17W16,0.999960,0.999683,88.08,66.55
DFT_0125,Ti18Nb73Mo9,0.999977,0.999891,66.94,45.83
DFT_0126,Ti18V5Nb71W6,0.999515,0.999912,65.25,48.29
DFT_0127,Ti18Zr5Nb77,0.999858,0.999828,56.89,44.55
DFT_0128,Ti20Nb20Ta20Mo20W20,0.999996,0.999631,92.51,72.01
DFT_0129,Ti20V20Nb20Ta20W20,0.999888,0.999986,74.29,68.69
DFT_0130,Ti20Hf20Nb20Ta20Mo20,0.168492,0.710739,-277000.15,-763251.51
DFT_0131,Ti20Zr20Hf20Ta20Mo20,0.999993,0.999975,43.23,67.76
DFT_0132,Ti20Zr20Hf20Nb20Ta20,0.811527,0.633619,712300.64,497618.83
DFT_0133,Ti25V25Nb25Mo25,0.999978,0.999870,76.02,50.42
DFT_0134,Ti25Hf25Nb25Ta25,0.999974,0.999991,37.01,72.16
DFT_0135,Ti25Hf25V25Nb25,0.633580,0.999981,686106.65,60.07
DFT_0136,Ti25Zr25Nb25Ta25,0.999908,0.999958,36.20,61.41
DFT_0137,Ti25Zr25V25Nb25,0.999899,0.999918,36.23,50.21
DFT_0138,Ti25Zr25Hf25Ta25,0.168531,0.633613,-314825.84,610507.30
DFT_0139,Ti25Zr25Hf25Nb12Ta13,0.999928,0.999987,23.68,70.97
DFT_0140,Ti25Zr25Hf25Nb25,0.999860,0.999971,25.15,65.73
DFT_0141,Ti28Zr28Hf28Ta16,0.811506,0.003167,-968251.16,64153.84
DFT_0142,Ti28Zr29Hf29Ta14,0.998564,0.999980,17.42,75.70
DFT_0143,Ti29Zr28Hf29Nb14,0.999229,0.999987,19.23,70.50
DFT_0144,Ti30Zr29Hf29Ta12,0.118018,0.999983,301167.98,75.56
DFT_0145,Ti31Zr32Nb31Ta3Mo3,0.999910,0.999938,31.77,54.07
DFT_0146,Ti33V34Nb33,0.999976,0.999956,49.40,48.91
DFT_0147,Ti33Zr33V17Nb17,0.999864,0.999979,26.48,54.85
DFT_0148,Ti34V22Nb22Ta22,0.999980,0.999977,47.07,61.24
DFT_0149,Ti34Zr33Nb33,0.999841,0.999963,27.90,54.71
DFT_0150,Ti35Zr27Hf27Nb5Ta6,0.998541,0.999983,15.86,73.09
DFT_0151,Ti35Zr35Nb20Mo10,0.999941,0.999951,31.71,53.95
DFT_0152,Ti37Hf23V15Nb22W3,0.999978,0.999993,32.77,63.50
DFT_0153,Ti38Hf24V15Nb23,0.999973,0.999992,29.79,63.21
DFT_0154,Ti41Hf16V27Nb16,0.999953,0.999994,31.46,59.42
DFT_0155,Ti42Hf21V16Nb21,0.999974,0.999994,28.92,62.50
DFT_0156,Ti43Zr14V28Nb14Mo1,0.999914,0.999987,32.71,54.11
DFT_0157,Ti43Zr14V29Nb14,0.999915,0.999982,31.94,54.43
DFT_0158,Ti43Zr42Nb5Ta5Mo5,0.999718,0.999989,18.54,61.32
DFT_0159,Ti44Zr14V28Nb14,0.999920,0.999986,31.32,54.54
DFT_0160,Ti44Zr30Nb26,0.999833,0.999986,23.56,57.78
DFT_0161,Ti45Zr45Nb5Mo5,0.999513,0.999985,15.61,60.73
DFT_0162,Ti45Zr45Nb5Ta5,0.998582,0.999964,12.03,63.91
DFT_0163,Ti49Zr32Nb13Ta6,0.999642,0.999988,18.23,62.55
DFT_0164,Ti56Zr30Nb14,0.999352,0.999980,15.14,62.00
DFT_0165,Ta90W2Re8,0.999328,0.999950,82.06,95.56
DFT_0166,Nb5Ta45Mo8W42,0.999394,0.997476,113.54,89.63
DFT_0167,Nb22Ta34Mo24W20,0.999154,0.994834,112.06,74.37
DFT_0168,Nb24Ta28Mo21W27,0.999765,0.996188,118.59,79.61
DFT_0169,Nb26Ta23Mo28W23,0.999895,0.997067,126.72,81.43
DFT_0170,Nb27Ta19Mo31W23,0.999932,0.998510,133.42,84.59
DFT_0171,Nb28Ta25Mo25W22,0.999381,0.994463,119.40,76.07
DFT_0172,Nb29Ta14Mo24W33,0.999808,0.999121,138.43,88.74
DFT_0173,Nb32Ta6Mo34W28,0.999899,0.999713,145.32,90.39
DFT_0174,Nb35Ta5Mo20W40,0.999904,0.999041,143.34,89.78
DFT_0175,Nb35Ta35Mo1W29,0.999928,0.999713,92.40,70.10
DFT_0176,Nb50Mo23W27,0.999766,0.996306,132.27,75.95
DFT_0177,Nb61Mo17W22,0.999423,0.993129,113.19,61.49
DFT_0178,Nb66Mo23W11,0.999526,0.990430,105.85,53.28
DFT_0179,Nb67Mo12W21,0.999305,0.992007,102.60,54.35
DFT_0180,Nb69Mo17W14,0.999618,0.990040,99.91,51.46
DFT_0181,Nb72Mo12W16,0.999699,0.992033,94.70,50.15
DFT_0182,Nb91Ta6W3,0.999223,0.997828,71.22,41.26
DFT_0183,V8Nb10Ta35Mo10W37,0.999782,0.997611,111.34,82.27
DFT_0184,V8Nb45Ta47,0.999438,0.999675,72.87,69.41
DFT_0185,V14Nb45Ta41,0.999481,0.999542,72.17,65.30
DFT_0186,V17Nb20Ta20Mo20W23,0.999221,0.994641,112.04,71.35
DFT_0187,V20Nb25Ta25Mo30,0.999915,0.997357,96.08,56.82
DFT_0188,V21Nb25Ta25W29,0.999986,0.999576,92.54,67.13
DFT_0189,V24Nb39Ta37,0.999602,0.999473,71.63,61.89
DFT_0190,V28Nb34Ta38,0.999640,0.999561,71.57,62.19
DFT_0191,Hf1Ta79W16Re4,0.999051,0.999968,84.60,91.97
DFT_0192,Hf1Ta84W15,0.999539,0.999923,79.47,94.46
DFT_0193,Hf1Ta85W9Re5,0.999304,0.999945,81.10,93.71
DFT_0194,Hf1Ta86W6Re7,0.999284,0.999954,81.44,93.93
DFT_0195,Hf1Ta88W7Re4,0.999572,0.999922,78.66,95.19
DFT_0196,Hf1Ta93W6,0.999629,0.999848,73.25,96.17
DFT_0197,Hf1V14Nb41Ta44,0.999599,0.999763,69.52,65.97
DFT_0198,Hf2Ta90W3Re5,,,,
DFT_0199,Hf2Ta95W3,0.999095,0.999940,68.52,94.58
DFT_0200,Hf2V19Nb38Ta41,0.167911,0.044641,-29409.41,-19189.18
DFT_0201,Hf3Ta82W13Re2,0.999552,0.999931,76.05,92.14
DFT_0202,Hf3Ta90W5Re2,0.999844,0.999917,70.38,93.47
DFT_0203,Hf3Nb30Ta31W36,0.634054,0.998918,86523.19,75.14
DFT_0204,Hf3Nb31Ta35W31,0.999935,0.999805,88.49,72.59
DFT_0205,Hf4Ta81W14Re1,0.999673,0.999936,73.36,91.20
DFT_0206,Hf4Ta86W9Re1,0.999882,0.999928,69.84,91.78
DFT_0207,Hf4Ta88W7Re1,0.999840,0.999931,68.50,91.84
DFT_0208,Hf4Ta88W8,0.999798,0.999944,68.03,91.61
DFT_0209,Hf4Ta91W5,0.999549,0.999986,65.79,91.57
DFT_0210,Hf5Ta85W8Re2,0.999879,0.999941,68.17,90.49
DFT_0211,Hf5Ta90W4Re1,0.999686,0.999994,64.22,90.37
DFT_0212,Hf5Nb32Ta30W33,0.999907,0.999745,89.05,74.24
DFT_0213,Hf6Ta84W10,0.633741,0.999961,162910.92,88.86
DFT_0214,Hf6V15Nb41Ta38,0.710675,0.999591,-236972.61,70.82
DFT_0215,Hf7Ta89W4,0.999728,0.633774,58.75,187742.44
DFT_0216,Hf7Nb44Ta44W5,0.999570,0.999880,63.05,68.38
DFT_0217,Hf8Ta82W10,0.999895,0.999993,61.01,86.12
DFT_0218,Hf8Nb31Ta27W34,0.430169,0.079093,243207.32,104271.41
DFT_0219,Hf8V10Nb40Ta40Mo2,0.811576,0.999848,318811.00,63.50
DFT_0220,Hf10Nb21Ta21Mo27W21,0.708419,0.168405,-465401.63,-144827.77
DFT_0221,Hf10Nb23Ta23Mo20W24,0.999690,0.998445,100.02,74.14
DFT_0222,Hf10Nb31Ta31W28,0.999921,0.999985,76.99,73.74
DFT_0223,Hf11Nb27Ta31W31,0.999998,0.999961,77.95,76.04
DFT_0224,Hf17Nb75W8,0.999782,0.999756,65.34,55.55
DFT_0225,Hf23Nb20Ta20Mo17W20,0.999932,0.999921,82.60,75.43
DFT_0226,Hf53Ta19Mo28,,,,
DFT_0227,Hf55Ta21Mo24,0.999979,0.999987,49.99,81.24
DFT_0228,Hf66Ta23Mo11,,,,
DFT_0229,Hf72Ta26Mo2,0.999778,0.999981,28.20,91.80
DFT_0230,Zr1Ta87Mo2W4Re6,0.999684,0.999933,81.93,93.89
DFT_0231,Zr1Ta91W4Re4,0.999885,0.999895,77.99,96.87
DFT_0232,Zr1Ta93W3Re3,0.999855,0.999876,76.06,97.16
DFT_0233,Zr1Nb84Mo8W7,0.999732,0.999513,78.82,41.51
DFT_0234,Zr1Nb85Mo4W10,0.999712,0.998995,78.09,42.82
DFT_0235,Zr1Nb85Ta4Mo6W4,0.999874,0.997734,74.74,41.78
DFT_0236,Zr1Nb89Mo7W3,0.999865,0.998385,74.35,38.38
DFT_0237,Zr1Nb91W8,0.999703,0.996953,73.54,40.88
DFT_0238,Zr1Nb92Mo6W1,0.999589,0.996841,72.26,36.78
DFT_0239,Zr1Hf1Ta88W7Re3,0.999881,0.999921,76.72,95.25
DFT_0240,Zr1Hf1Ta91Mo6W1,0.999756,0.999938,74.87,92.67
DFT_0241,Zr2Nb87Ta5Mo4W2,0.999527,0.997997,71.64,40.93
DFT_0242,Zr3Nb75Ta16W6,0.999736,0.997733,72.40,51.40
DFT_0243,Zr3Nb96W1,0.997930,0.998296,66.95,37.80
DFT_0244,Zr3Hf1Ta89Mo1W5Re1,0.999780,0.999942,72.02,93.04
DFT_0245,Zr4Nb84Ta5Mo2W5,0.999624,0.998677,71.33,43.40
DFT_0246,Zr5Ta87Mo1W7,0.999839,0.999939,72.65,92.72
DFT_0247,Zr5Nb90W5,0.999188,0.998994,68.97,40.41
DFT_0248,Zr5Nb92Mo2W1,0.998504,0.998807,67.28,38.40
DFT_0249,Zr6Ta84W9Re1,0.999926,0.999960,73.94,92.55
DFT_0250,Zr6Ta91W3,0.999809,0.999901,67.46,92.79
DFT_0251,Zr6Nb24Ta24Mo24W22,0.999318,0.996336,108.30,71.58
DFT_0252,Zr6Nb90Mo2W2,0.998775,0.998998,67.54,39.29
DFT_0253,Zr7Nb22Ta22Mo23W26,0.999417,0.045314,111.28,15237.80
DFT_0254,Zr7Nb86Ta1Mo2W4,0.999288,0.999191,68.48,41.30
DFT_0255,Zr16Nb20Ta20Mo20W24,0.999968,0.169973,94.59,13431.30
DFT_0256,Zr29Nb33Ta38,0.999954,0.999933,47.34,62.83
DFT_0257,Ti1Zr3Mo96,0.999933,0.999775,167.24,113.12
DFT_0258,Ti2Zr6Hf6Nb86,0.999484,0.999183,61.17,44.36
DFT_0259,Ti3V10Nb39Ta40Mo8,0.999517,0.999624,75.83,63.36
DFT_0260,Ti4Nb24Ta23Mo24W25,0.999957,0.996511,116.30,77.55
DFT_0261,Ti5Zr1Hf2Nb92,0.998608,0.998813,64.12,41.91
DFT_0262,Ti6V12Nb41Ta41,0.999632,0.999844,66.91,65.35
DFT_0263,Ti8V15Nb40Ta35Mo2,0.999772,0.999833,66.98,62.37
DFT_0264,Ti8Zr3Nb76Mo5W8,0.999967,0.999884,73.15,46.80
DFT_0265,Ti10Hf10Nb55Ta25,0.000073,0.138359,2827.26,51926.51
DFT_0266,Ti11V22Nb33Ta34,0.999798,0.999824,62.97,62.57
DFT_0267,Ti13Nb22Ta22Mo23W20,0.169748,0.998890,23657.71,72.40
DFT_0268,Ti13Hf15Nb43Ta22Re7,0.999952,0.999981,61.34,69.46
DFT_0269,Ti14Nb21Ta21Mo21W23,0.999811,0.998887,100.80,73.73
DFT_0270,Ti14Hf10V6Nb45Ta25,0.999856,0.999859,40.31,56.51
DFT_0271,Ti14Zr14Hf11Nb14Ta14Mo19W14,0.999980,0.999963,67.95,66.94
DFT_0272,Ti15Hf11V4Nb35Ta35,0.999826,0.999891,40.69,65.03
DFT_0273,Ti16Zr16Hf22Nb17Ta17W12,0.000069,0.811543,-5858.00,802783.42
DFT_0274,Ti16Zr17Hf21Nb17Ta17Mo12,0.044908,0.179775,-180526.42,361218.03
DFT_0275,Ti17V14Nb17Ta16Mo17W19,0.999994,0.999641,90.85,68.46
DFT_0276,Ti17V26Nb29Ta28,0.999912,0.999864,58.68,61.03
DFT_0277,Ti17Zr43Nb30Ta10,0.999818,0.999882,30.55,54.65
DFT_0278,Ti19Hf11Nb45Ta25,0.999967,0.999915,50.14,65.30
